James;1146218927;jbutt@gmail.com
josephine_darakjy@darakjy.org;Josephine;8102929388
Art;art@venere.org;8566368749
Lenna;lpaprocki@hotmail.com;9073854412
Donette;5135701893;donette.foller@cox.net
Simona;4195032484;simona@morasca.com
7735736914;mitsue_tollner@yahoo.com;Mitsue;
Leota;4087523500;leota@hotmail.com
Sage;6054142147;sage_wieser@cox.net
4106558723;Kris;kris@gmail.com
minna_amigon@yahoo.com;Minna;2158741229
Abel;6313353414;amaclead@gmail.com
Kiley;3104985651;kiley.caldarera@aol.com
Graciela;4407808425;gruta@cox.net
Cammy;9565376195;calbares@gmail.com
mattie@aol.com;6022774385;Mattie
Meaghan;9313139635;meaghan@hotmail.com
Gladys;4146619598;gladys.rim@rim.org
Yuki;3132887937;yuki_whobrey@aol.com
8158282147;fFletcher;letcher.flosi@yahoo.com
bette_nicka@cox.net;Bette;6105453615
Veronika;4085401785;vinouye@aol.com
Willard;9723039197;willard@hotmail.com
mroyster@royster.com;Maryann;5189667987
Alisha;7326583154;alisha@slusarski.com
